title,h-index,link,description
CVPR,240,http://cvpr2020.thecvf.com/,Computer vision
NeurIPS,169,https://nips.cc/Conferences/2020,Everything Neural Networks
ICLR,150,http://iclr.cc/,Deep learning
ICML,135,https://icml.cc/Conferences/2020,Everything ML
ECCV,135,https://eccv2020.eu,Computer vision
AAAI,95,https://aaai.org/Conferences/AAAI-20/,Theoretical and applied AI
KDD,86,https://www.kdd.org/kdd2020/,Data mining
AISTATS,52,https://www.aistats.org/,Stats-heavy ML
GECCO,36,https://gecco-2019.sigevo.org/index.html/tiki-index.php,Genetic algorithms (e.g. symbolic regression)
UAI,33,http://auai.org/uai2020/,Uncertainty in AI
